Name,Link,Img,DOB,age(years),status,description,_id
Amrish Puri,https://en.wikipedia.org/wiki/Amrish_Puri,Amrish Puri.jpg,"22 June 1932,",72,Died,"Amrish Lal Puri was an Indian actor, who was an important figure in Indian theatre and cinema.
He worked with notable playwrights of the time, including Satyadev Dubey and Girish Karnad. He is remembered for playing iconic villainous roles in Hindi cinema as well as other Indian and international film industries.",5ea7bc84ff604553fe22705b
Ananth Nag,https://en.wikipedia.org/wiki/Ananth_Nag,Ananth Nag.jpg,4 September 1948,71,Alive,"Anant Nagarkatte known as Anant Nag, is an Indian actor, known primarily for his work in Kannada cinema, and in addition he appeared in Marathi, Tamil, Malayalam, Telugu and Hindi movies. He acted in Malgudi Days, directed by his younger brother Shankar Nag, based on the stories by R. K. Narayan.",5ea7bc8aff604553fe22705c
Anil Kapoor,https://en.wikipedia.org/wiki/Anil_Kapoor,Anil Kapoor.jpg,24 December 1956,63,Alive,"Anil Kapoor is an Indian actor and producer who has appeared in over hundred Hindi-language films, as well as international films and television series. His career has spanned 40 years as an actor, and as a producer since 2005.",5ea7bc8eff604553fe22705d
Aniruddha Jatkar,https://en.wikipedia.org/wiki/Aniruddha_Jatkar,Aniruddha Jatkar.jpg,,,Alive,,5ea7bc93ff604553fe22705e
Anjan Srivastav,https://en.wikipedia.org/wiki/Anjan_Srivastav,Anjan Srivastav.jpg,2 June 1948,71,Alive,"Aanjjan Srivastav is an Indian film, television and stage actor, associated with Indian People's Theatre Association in Mumbai of which he remained Vice-President for several years.",5ea7bc96ff604553fe22705f
Ankush Chaudhari,https://en.wikipedia.org/wiki/Ankush_Chaudhari,Ankush Chaudhari.jpg,31 January 1977,43,Alive,"Ankush Chaudhari is a Marathi film actor, screenwriter, director, producer and theatre personality.
In 2015, Ankush Chaudhari portrayed the character of college student named Satya in the film Classmates directed by Aditya Sarpotdar.",5ea7bc99ff604553fe227060
Ankush Hazra,https://en.wikipedia.org/wiki/Ankush_Hazra,Ankush Hazra.jpg,14 February 1989,31,Alive,"Ankush Hazra is an Indian actor associated with Bengali films. His debut film was Kellafate released in 2010. His other notable films include Ami Shudhu Cheyechi Tomay, Ki Kore Toke Bolbo, Jamai 420 and Haripada Bandwala.",5ea7bc9cff604553fe227061
Annu Kapoor,https://en.wikipedia.org/wiki/Annu_Kapoor,Annu Kapoor.jpg,20 February 1956,64,Alive,"Annu Kapoor is an Indian film actor and television presenter best-remembered for hosting the vocal reality show Antakshari from 1993 to 2006 and his roles in Mr. India, Vicky Donor and Jolly LLB 2. He received Filmfare award as well as National Film Award for Best Supporting Actor for Vicky Donor.",5ea7bc9fff604553fe227062
Anoop Kumar,https://en.wikipedia.org/wiki/Anoop_Kumar,Anoop Kumar.jpg,"9 January 1926,",71,Died,"Kalyan Kumar Ganguly
, better known by his stage name Anoop Kumar was an Indian film actor who appeared in over seventy-five Bollywood films.",5ea7bca2ff604553fe227063
Anoop Menon,https://en.wikipedia.org/wiki/Anoop_Menon,Anoop Menon.jpg,3 August 1976,43,Alive,"Anoop Menon is an Indian film actor, director, screenwriter and lyricist. He worked in television before finding success as an actor in Malayalam films.",5ea7bca4ff604553fe227064
Anubhav Mohanty,https://en.wikipedia.org/wiki/Anubhav_Mohanty,Anubhav Mohanty.jpg,24 December 1981,38,Alive,"Anubhav Mohanty is an Indian Actor, Film Producer, Television personality and Politician. He made his debut with the movie I Love You in 2004. In 2012, after the huge success of Balunga Toka, he created his own production house named Vishnupriyaa Arts & Graphics.",5ea7bca7ff604553fe227065
Anuj Gurwara,https://en.wikipedia.org/wiki/Anuj_Gurwara,Anuj Gurwara.jpg,9 June 1981,38,Alive,"Anuj Gurwara is a Filmfare Award-winning playback singer, master of ceremonies, actor, voice artist, radio jockey and television show host from India.",5ea7bcaaff604553fe227066
Anupam Kher,https://en.wikipedia.org/wiki/Anupam_Kher,Anupam Kher.jpg,7 March 1955,65,Alive,Anupam Kher is an Indian actor and the former Chairman of Film and Television Institute of India. He is the recipient of two National Film Awards and eight Filmfare Awards. He has appeared in over 500 films in several languages and many plays. He won the Filmfare Award for Best Actor for his performance in Saaransh.,5ea7bcadff604553fe227067
Anurag Kashyap,https://en.wikipedia.org/wiki/Anurag_Kashyap,Anurag Kashyap.jpg,10 September 1972,47,Alive,"Anurag Kashyap is an Indian film director, writer, editor, producer, actor known for his works in Hindi cinema. He is the recipient of several accolades, including four Filmfare Awards. For his contributions to film, the Government of France awarded him the Ordre des Arts et des Lettres in 2013.",5ea7bcb0ff604553fe227068
Apurva Agnihotri,https://en.wikipedia.org/wiki/Apurva_Agnihotri,Apurva Agnihotri.jpg,2 December 1972,47,Alive,"Apurva Agnihotri is an Indian actor known for his role as Rajiv in the film Pardes, and Armaan Suri in the television show Jassi Jaissi Koi Nahin.",5ea7bcb2ff604553fe227069
Aravind Akash,https://en.wikipedia.org/wiki/Aravind_Akash,Aravind Akash.jpg,27 February 1976,44,Alive,Aravind Akash is an Indian actor and dancer who predominantly works in the South Indian film industry. He rose to fame through 2002 Malayalam film Nandanam portraying the role of Lord Krishna. He has also been a judge for a few TV shows in Malayalam and Tamil.,5ea7bcb5ff604553fe22706a
Arbaaz Khan,https://en.wikipedia.org/wiki/Arbaaz_Khan,Arbaaz Khan.jpg,4 August 1967,52,Alive,"Arbaaz Khan is an Indian actor, director and film producer, who predominantly works in Hindi language films. He has also acted in a few Urdu, Telugu and Malayalam language films as well as television series. Since making his debut in 1996, he has acted in many leading and supporting roles.",5ea7bcb8ff604553fe22706b
Arif Zakaria,https://en.wikipedia.org/wiki/Arif_Zakaria,Arif Zakaria.jpg,11 November 1966,53,Alive,"Arif Zakaria is an Indian actor. He has had many roles, beginning with his debut film Darmiyaan, 1947 Earth, Dance Like a man and other roles, even biographical projects such as Mardana in the controversial Nanak Shah Fakir.
Zakaria began acting in theatre while in college and later moved on to television and films.",5ea7bcbbff604553fe22706c
Arjun Kapoor,https://en.wikipedia.org/wiki/Arjun_Kapoor,Arjun Kapoor.jpg,26 June 1985,34,Alive,"Arjun Kapoor is an Indian actor who appears in Bollywood films. The son of film producers Boney Kapoor and Mona Shourie Kapoor, he initially worked an assistant director on his father's productions No Entry and Wanted.",5ea7bcbeff604553fe22706d
Arjun Mathur,https://en.wikipedia.org/wiki/Arjun_Mathur,Arjun Mathur.jpg,18 October 1981,38,Alive,"Arjun Mathur is an Indian film actor working predominantly in Bollywood and in independent films. He was also seen in the British drama series, Indian Summers. He plays a lead character in a TV series, Made in Heaven.",5ea7bcc1ff604553fe22706e
Arjun Rampal,https://en.wikipedia.org/wiki/Arjun_Rampal,Arjun Rampal.jpg,26 November 1972,47,Alive,"Arjun Rampal is an Indian film actor, producer, screenwriter, model, entrepreneur, and television personality. He made his acting debut in Rajiv Rai's romance Pyaar Ishq Aur Mohabbat.",5ea7bcc3ff604553fe22706f
Arjun Sarja,https://en.wikipedia.org/wiki/Arjun_Sarja,Arjun Sarja.jpg,15 August 1964,55,Alive,"Srinivasa Sarja, known professionally Arjun, is an Indian actor, producer and director. Referred to by the media and his fans as ""Action King"" for his roles in action films, he works predominantly in Tamil, Kannada and Telugu language films, while also performing in a few Malayalam and Hindi films.",5ea7bcc7ff604553fe227070
Arshad Warsi,https://en.wikipedia.org/wiki/Arshad_Warsi,Arshad Warsi.jpg,19 April 1968,52,Alive,"Arshad Warsi is an Indian film actor, producer, television personality and playback singer who appears in Bollywood films. He is the recipient of several awards including a Filmfare Award from five nominations and is noted for acting in varied film genres.",5ea7bccaff604553fe227071
Arun Sarnaik,https://en.wikipedia.org/wiki/Arun_Sarnaik,Arun Sarnaik.jpg,4 October 1935,48,Died,"Arun Shankarrao Sarnaik was an actor and singer from Kolhapur, Maharashtra, India. He was the son of the famous singer ""Maharashtrakokil"" Pt. Shankarao Sarnaik and brother of famous classical singer ""Pandit Nivruttibua Sarnaik"" from Jaipur Atrauli Gharana.",5ea7bccdff604553fe227072
Arunoday Singh,https://en.wikipedia.org/wiki/Arunoday_Singh,Arunoday Singh.jpg,17 February 1983,37,Alive,"Arunoday Singh is an Indian film actor. His debut movie was Sikandar. Singh has appeared in Sudhir Mishra's Yeh Saali Zindagi, Pooja Bhatt's Jism 2, David Dhawan's Main Tera Hero, and Ashutosh Gowariker's Mohenjo Daro.",5ea7bccfff604553fe227073
Arvind Krishna,https://en.wikipedia.org/wiki/Arvind_Krishna,Arvind Krishna.jpg,1962,About,Alive,"Arvind Krishna is an Indian American business executive. He is the chief executive officer of IBM. Krishna began his career at IBM as an engineer, was promoted to senior vice president in 2015, and was promoted to CEO in 2020.",5ea7bcd2ff604553fe227074
Arvind Swamy,https://en.wikipedia.org/wiki/Arvind_Swamy,Arvind Swamy.jpg,18 June 1970,49,Alive,"Arvind Swami is an Indian film actor, model, entrepreneur and television presenter known for his work in Tamil cinema.",5ea7bcd5ff604553fe227075
Arya Babbar,https://en.wikipedia.org/wiki/Arya_Babbar,Arya Babbar.jpg,24 May 1981,38,Alive,"Aarya Babbar is an Indian actor who appears in Bollywood and Punjabi films. In 2014, Aarya participated in the eighth season of Bigg Boss.",5ea7bcd8ff604553fe227076
Arya Cethirakath,https://en.wikipedia.org/wiki/Arya_(actor),Arya Cethirakath.jpg,11 December 1980,39,Alive,"Jamshad Cethirakath, known by his stage name Arya, is an Indian film actor and producer, who mainly appears in Tamil films besides appearing in a number of Malayalam, Telugu and Kannada productions. He made his breakthrough portraying rogue characters in Vishnuvardhan's Arinthum Ariyamalum and Pattiyal.",5ea7bcdbff604553fe227077
Asif Ali,https://en.wikipedia.org/wiki/Asif_Ali_(actor),Asif Ali.jpg,4 February 1986,34,Alive,"Asif Ali is an Indian film actor and producer, who predominantly works in Malayalam cinema. He started his film career at the age of 23 in Shyamaprasad's 2009 film Ritu, which was highly appreciated by the critics.",5ea7bcddff604553fe227078
Ashish Vidyarthi,https://en.wikipedia.org/wiki/Ashish_Vidyarthi,Ashish Vidyarthi.jpg,19 June 1962,57,Alive,"Ashish Vidyarthi is an Indian film actor and motivational speaker, known for his work in 11 different languages, predominantly in Tamil, Kannada, Malayalam, Telugu, Hindi, Bhojpuri,
Bengali, English, Odia and Marathi cinema. He is noted for his antagonist and character roles.",5ea7bce0ff604553fe227079
Ashok,https://en.wikipedia.org/wiki/Ashok_(Kannada_actor),Ashok.jpg,"13 October 1911,",90,Died,"Kumudlal Ganguly, better known by his stage name Ashok Kumar and also fondly called Dadamoni, was an Indian film actor who attained iconic status in Indian cinema and who was a member of the cinematic Ganguly family.",5ea7bce3ff604553fe22707a
Ashok Kumar,https://en.wikipedia.org/wiki/Ashok_Kumar,Ashok Kumar.jpg,"13 October 1911,",90,Died,"Kumudlal Ganguly, better known by his stage name Ashok Kumar and also fondly called Dadamoni, was an Indian film actor who attained iconic status in Indian cinema and who was a member of the cinematic Ganguly family.",5ea7bce6ff604553fe22707b
Asrani,https://en.wikipedia.org/wiki/Asrani,Asrani.jpg,1 January 1941,79,Alive,"Govardhan Asrani popularly known simply as Asrani, is an Indian actor and director whose Bollywood career has spanned five decades. He has acted in over 350 Hindi films. Asrani has played the lead hero, character roles, comedic roles and supporting roles.",5ea7bce9ff604553fe22707c
Ashok Saraf,https://en.wikipedia.org/wiki/Ashok_Saraf,Ashok Saraf.jpg,4 June 1947,72,Alive,Ashok Saraf is an Indian film and stage actor and comedian. He has appeared in many Marathi language films and stage plays in lead roles and in Hindi language films and TV serials in supporting roles.,5ea7bcecff604553fe22707d
